,vin,price,odometer,city,web address,color
0,3C6TRVDG8KE512355,"$38,593",32701,seattle,https://seattle.craigslist.org/tac/ctd/d/tacoma-2019-ram-promaster-cargo-van/7254580143.html,white
1,3C6TRVDG3KE535493,"$38,993",26144,seattle,https://seattle.craigslist.org/tac/ctd/d/tacoma-2019-ram-promaster-cargo-van/7254537267.html,white
2,3C6TRVDGXKE554347,"$37,993",43139,seattle,https://seattle.craigslist.org/tac/ctd/d/tacoma-2019-ram-promaster-cargo-van/7254537398.html,white
3,3C6TRVDG1JE119831,"$28,993",97409,seattle,https://seattle.craigslist.org/tac/ctd/d/tacoma-2018-ram-promaster-cargo-van/7254065781.html,white
4,3C6TRVDG7KE513142,"$38,993",12582,seattle,https://seattle.craigslist.org/tac/ctd/d/tacoma-2019-ram-promaster-cargo-van/7252040832.html,white
5,3C6TRVCG3HE526285,"$34,993",13671,seattle,https://seattle.craigslist.org/tac/ctd/d/tacoma-2017-ram-promaster-cargo-van/7252026590.html,white
6,3C6TRVDG1JE119831,"$28,993",97409,seattle,https://seattle.craigslist.org/tac/ctd/d/tacoma-2018-ram-promaster-cargo-van/7251135314.html,white
7,3C6TRVDG7KE513142,"$38,993",12582,seattle,https://seattle.craigslist.org/tac/ctd/d/tacoma-2019-ram-promaster-cargo-van/7248155831.html,white
8,3C6TRVCG3HE526285,"$34,993",13671,seattle,https://seattle.craigslist.org/tac/ctd/d/tacoma-2017-ram-promaster-cargo-van/7244975246.html,white
9,1FTNE1CM6FKA91641,"$25,000",47297,seattle,https://seattle.craigslist.org/see/ctd/d/gardena-2015-ford-transit-150-cargo-van/7250844055.html,white
10,1FTNE1CM7FKA91647,"$24,800",64692,seattle,https://seattle.craigslist.org/see/ctd/d/gardena-2015-ford-transit-150-cargo-van/7250838838.html,red
11,1FTNE1CM6FKA84883,"$22,995",105000,seattle,https://seattle.craigslist.org/see/ctd/d/renton-2015-ford-transit-150-cargo-van/7250323817.html,white
12,3C6TRVDG1JE119831,"$28,993",97409,seattle,https://seattle.craigslist.org/tac/ctd/d/tacoma-2018-ram-promaster-cargo-van/7243847347.html,white
13,3C6TRVCG3HE526285,"$34,993",13671,seattle,https://seattle.craigslist.org/tac/ctd/d/tacoma-2017-ram-promaster-cargo-van/7241686090.html,white
14,3C6TRVDG7KE513142,"$38,993",12582,seattle,https://seattle.craigslist.org/tac/ctd/d/tacoma-2019-ram-promaster-cargo-van/7241665255.html,white
15,1FDXW46PX5EB02453,"$15,000",117822,seattle,https://seattle.craigslist.org/see/ctd/d/gardena-2005-ford-crew-cab-stake-bed/7251774468.html,white
16,1GCVKNEC5HZ195746,"$27,500",80179,seattle,https://seattle.craigslist.org/see/ctd/d/gardena-2017-chevrolet-silverado-1500/7251089053.html,white
17,,"$34,995",8705,seattle,https://seattle.craigslist.org/sno/ctd/d/lynnwood-2019-ram-promaster-2500/7250124525.html,white
18,1FTNS2EW3BDA12938,"$27,995",21000,seattle,https://seattle.craigslist.org/est/ctd/d/beaverton-2011-ford-250-wheelchair-van/7249968168.html,no color
19,1FTNS2EW3BDA12938,"$27,995",21000,seattle,https://seattle.craigslist.org/est/ctd/d/beaverton-2011-ford-250-wheelchair-van/7247397876.html,no color
20,1FTSE34S02HA99866,"$12,500",129847,seattle,https://seattle.craigslist.org/see/ctd/d/gardena-2002-ford-ft-boom-bucket-van/7245052031.html,white
21,3D7MS48D15G752857,"$25,000",64736,seattle,https://seattle.craigslist.org/see/ctd/d/gardena-2005-dodge-ram-x4-crew-cab-ft/7243962171.html,white
22,1FDUF5GY0BEB00433,"$30,000",115439,seattle,https://seattle.craigslist.org/see/ctd/d/gardena-2011-ford-f550-20ft-ton-moving/7241144247.html,white
23,1GNSGBF44D1190306,"$17,500",67776,seattle,https://seattle.craigslist.org/see/ctd/d/gardena-2013-chevrolet-express-seater/7241137520.html,black
24,1FTMF1CM6BKD84099,"$12,500",83495,seattle,https://seattle.craigslist.org/see/ctd/d/gardena-2011-ford-f150-pickup-truck-v6/7241128877.html,white
25,1GDKC34J7YF421500,"$19,500",46457,seattle,https://seattle.craigslist.org/see/ctd/d/gardena-2000-gmc-sierra-3500-chevy/7239948497.html,white
26,,"$30,999",35000,seattle,https://yakima.craigslist.org/ctd/d/yakima-2017-ram-promaster-2500-high/7254229581.html,white
27,3C6TRVDG8KE512355,"$38,593",32701,seattle,https://portland.craigslist.org/clk/ctd/d/tacoma-2019-ram-promaster-cargo-van/7254537556.html,white
